"","tcr","AUC"
"1","a3a",0.860802469135802
"2","TIL1383I",0.625747863247863
"3","TCR81-14",0.765734265734266
"4","18A2",0.868981481481481
"5","NYE-S1",0.787384259259259
"6","TCR6",0.807986111111111
"7","TCR7",0.749269005847953
"8","A6",0.694320436507937
"9","T1",0.985294117647059
"10","FLT3DY",0.670138888888889
"11","A23",0.716203703703704
"12","TCR2-T",0.848290598290598
"13","R24",0.824635241301908
"14","868Z11",0.642361111111111
"15","TCR-1E6",0.875555555555556
"16","APN-TCR",0.726576278659612
"17","EWW-TCR",0.828315623770169
"18","A11Va",0.807969399881165
"19","TCR-F5",0.86702388663173
"20","TCR-3598-2",0.801856455176768
"21","MBP-TCR",0.873504273504274
"22","B3K508",0.596296296296296
