"","tcr","AUC"
"1","a3a",0.881172839506173
"2","TIL1383I",0.630876068376068
"3","TCR81-14",0.762237762237762
"4","18A2",0.875578703703704
"5","NYE-S1",0.81099537037037
"6","TCR6",0.737962962962963
"7","TCR7",0.714546783625731
"8","A6",0.718253968253968
"9","T1",0.980392156862745
"10","FLT3DY",0.625289351851852
"11","A23",0.794598765432099
"12","TCR2-T",0.830395299145299
"13","R24",0.755985783763562
"14","868Z11",0.683159722222222
"15","TCR-1E6",0.839444444444444
"16","APN-TCR",0.634810405643739
"17","EWW-TCR",0.820247933884298
"18","A11Va",0.821152703505645
"19","TCR-F5",0.836905532983964
"20","TCR-3598-2",0.795326309974747
"21","MBP-TCR",0.86963141025641
"22","B3K508",0.690740740740741
