"","tcr","AUC"
"1","a3a",0.936584249084249
"2","TIL1383I",0.72979797979798
"3","TCR81-14",0.75552398989899
"4","18A2",0.844429824561404
"5","NYE-S1",0.720138888888889
"6","TCR6",0.719076448243115
"7","TCR7",0.68452380952381
"8","A6",0.616588680926916
"9","T1",0.853448275862069
"10","FLT3DY",0.780965909090909
"11","A23",0.663525132275132
"12","TCR2-T",0.62463768115942
"13","R24",0.766460905349794
"14","868Z11",0.77405753968254
"15","TCR-1E6",0.755144032921811
"16","APN-TCR",0.702840909090909
"17","EWW-TCR",0.761463844797178
"18","A11Va",0.815248842592593
"19","TCR-F5",0.803994401378122
"20","TCR-3598-2",0.773540932236584
"21","MBP-TCR",0.817751322751323
"22","B3K508",0.673721340388007
