"","tcr","AUC"
"1","a3a",0.982060185185185
"2","TIL1383I",0.747089947089947
"3","TCR81-14",0.733630952380952
"4","18A2",0.789814814814815
"5","NYE-S1",0.821047008547009
"6","TCR6",0.776331018518519
"7","TCR7",0.732819264069264
"8","A6",0.717906336088154
"9","T1",0.621693121693122
"10","FLT3DY",0.842105263157895
"11","A23",0.674603174603175
"12","TCR2-T",0.841666666666667
"13","R24",0.857638888888889
"14","868Z11",0.662280701754386
"15","TCR-1E6",0.764814814814815
"16","APN-TCR",0.758723958333333
"17","EWW-TCR",0.884259259259259
"18","A11Va",0.715488215488216
"19","TCR-F5",0.837373737373737
"20","TCR-3598-2",0.823189300411523
"21","MBP-TCR",0.927146464646465
"22","B3K508",0.726851851851852
