"","tcr","AUC"
"1","a3a",0.986111111111111
"2","TIL1383I",0.753439153439153
"3","TCR81-14",0.830853174603175
"4","18A2",0.77337962962963
"5","NYE-S1",0.701121794871795
"6","TCR6",0.802662037037037
"7","TCR7",0.685741341991342
"8","A6",0.821212121212121
"9","T1",0.611772486772487
"10","FLT3DY",0.809941520467836
"11","A23",0.787698412698413
"12","TCR2-T",0.698611111111111
"13","R24",0.884920634920635
"14","868Z11",0.589598997493734
"15","TCR-1E6",0.803703703703704
"16","APN-TCR",0.750260416666667
"17","EWW-TCR",0.853356481481481
"18","A11Va",0.802946127946128
"19","TCR-F5",0.755527497194164
"20","TCR-3598-2",0.846872427983539
"21","MBP-TCR",0.922979797979798
"22","B3K508",0.861111111111111
