"","tcr","AUC"
"1","a3a",0.872530864197531
"2","TIL1383I",0.630982905982906
"3","TCR81-14",0.774621212121212
"4","18A2",0.799421296296296
"5","NYE-S1",0.795138888888889
"6","TCR6",0.817939814814815
"7","TCR7",0.777777777777778
"8","A6",0.767609126984127
"9","T1",0.980392156862745
"10","FLT3DY",0.651041666666667
"11","A23",0.669444444444445
"12","TCR2-T",0.818376068376068
"13","R24",0.75794986906098
"14","868Z11",0.651909722222222
"15","TCR-1E6",0.825
"16","APN-TCR",0.730820105820106
"17","EWW-TCR",0.821477764659583
"18","A11Va",0.786727569815805
"19","TCR-F5",0.86877073151583
"20","TCR-3598-2",0.800297900883838
"21","MBP-TCR",0.874358974358974
"22","B3K508",0.474074074074074
