"","tcr","AUC"
"1","a3a",0.92979242979243
"2","TIL1383I",0.756565656565657
"3","TCR81-14",0.75089436026936
"4","18A2",0.799736842105263
"5","NYE-S1",0.779050925925926
"6","TCR6",0.821106362773029
"7","TCR7",0.671768707482993
"8","A6",0.637867647058824
"9","T1",0.887931034482759
"10","FLT3DY",0.766856060606061
"11","A23",0.554398148148148
"12","TCR2-T",0.676630434782609
"13","R24",0.827777777777778
"14","868Z11",0.61739417989418
"15","TCR-1E6",0.671467764060357
"16","APN-TCR",0.659848484848485
"17","EWW-TCR",0.792901234567901
"18","A11Va",0.817563657407407
"19","TCR-F5",0.863802756244617
"20","TCR-3598-2",0.817244418331375
"21","MBP-TCR",0.876746031746032
"22","B3K508",0.727513227513228
