"","tcr","AUC"
"1","a3a",0.929945054945055
"2","TIL1383I",0.84949494949495
"3","TCR81-14",0.787773569023569
"4","18A2",0.840263157894737
"5","NYE-S1",0.752546296296296
"6","TCR6",0.793091168091168
"7","TCR7",0.704081632653061
"8","A6",0.616532976827095
"9","T1",0.978448275862069
"10","FLT3DY",0.887689393939394
"11","A23",0.638392857142857
"12","TCR2-T",0.767028985507246
"13","R24",0.888683127572017
"14","868Z11",0.698743386243386
"15","TCR-1E6",0.818930041152263
"16","APN-TCR",0.696875
"17","EWW-TCR",0.795590828924162
"18","A11Va",0.849971064814815
"19","TCR-F5",0.86640019379845
"20","TCR-3598-2",0.8362955346651
"21","MBP-TCR",0.895925925925926
"22","B3K508",0.664902998236332
