"","tcr","auc","fpeptide","pooling"
"102","TCR-1E6",0.76728823739015,0.7,"BATMAN pooled"
"103","TCR2-T",0.779265437747383,0.7,"BATMAN pooled"
"104","TCR6",0.80017321721901,0.7,"BATMAN pooled"
"105","TCR7",0.810358416017498,0.7,"BATMAN pooled"
"106","TCR81-14",0.785602262614974,0.7,"BATMAN pooled"
"107","TIL1383I",0.759663174239445,0.7,"BATMAN pooled"
"108","a3a",0.894135045571015,0.7,"BATMAN pooled"
"109","18A2",0.849346809115676,0.9,"BATMAN pooled"
"110","868Z11",0.822585011912497,0.9,"BATMAN pooled"
"111","A11Va",0.839348839513075,0.9,"BATMAN pooled"
"112","A23",0.833776856847464,0.9,"BATMAN pooled"
"113","A6",0.831150724046064,0.9,"BATMAN pooled"
"114","APN-TCR",0.799042876994701,0.9,"BATMAN pooled"
"115","EWW-TCR",0.82418292096623,0.9,"BATMAN pooled"
"116","FLT3DY",0.850665168855058,0.9,"BATMAN pooled"
"117","NYE-S1",0.831014400979679,0.9,"BATMAN pooled"
"118","R24",0.86597855815228,0.9,"BATMAN pooled"
"119","T1",0.850273381637985,0.9,"BATMAN pooled"
"120","TCR-1E6",0.785506326262245,0.9,"BATMAN pooled"
"121","TCR2-T",0.7934137685794,0.9,"BATMAN pooled"
"122","TCR6",0.801206856511785,0.9,"BATMAN pooled"
"123","TCR7",0.827165074914589,0.9,"BATMAN pooled"
"124","TCR81-14",0.790120545973721,0.9,"BATMAN pooled"
"125","TIL1383I",0.771168842914875,0.9,"BATMAN pooled"
"126","a3a",0.905079770644145,0.9,"BATMAN pooled"
"127","a3a",0.906843598788043,1,"BATMAN pooled"
"128","TIL1383I",0.768336996336996,1,"BATMAN pooled"
"129","TCR81-14",0.790747123247123,1,"BATMAN pooled"
"130","18A2",0.852802701197438,1,"BATMAN pooled"
"131","NYE-S1",0.835038283475783,1,"BATMAN pooled"
"132","TCR6",0.809397068168998,1,"BATMAN pooled"
"133","TCR7",0.833235341403489,1,"BATMAN pooled"
"134","A6",0.824660778170136,1,"BATMAN pooled"
"135","T1",0.870971032428207,1,"BATMAN pooled"
"136","FLT3DY",0.862985276101981,1,"BATMAN pooled"
"137","A23",0.836976220884267,1,"BATMAN pooled"
"138","TCR2-T",0.799424059032755,1,"BATMAN pooled"
"139","R24",0.872183875794987,1,"BATMAN pooled"
"140","868Z11",0.817845456896209,1,"BATMAN pooled"
"141","TCR-1E6",0.791504549719442,1,"BATMAN pooled"
"142","APN-TCR",0.793672893241424,1,"BATMAN pooled"
